Codename,Model Name,Print Technology,Cartridge/Toner,Wi-Fi Gen,Year,Wireless Chip Set Manufacturer,Wireless Chipset Codename,FW Codebase,Variant
Dragonfly,,,,5,????,Infineon,Silverstar,Ares,
Libra,,,,,2029,,,,
Polestar,,,,,2029,,,,
Scorpius,,,,,2028,Realtek,Stellar,,
Lynx,,,,,2027,,,,
Magellan,OfficeJet Pro 9130b,Ink,HP 936/937/938,5,2027,Realtek,Stingray,Dune,
Greenfield,M214/M216/M220/M223,Laser,,4,2026,TI,Snowy,Ares 2,
Leo,Smart Tank xxxxx,Ink,Continuous Ink (bottled),,2026,,,,
Lotus,LaserJet Pro MFP 4112-4115fdw,Laser,HP 230A/230X,6,2026,Realtek,Stellar,Dune,
Sunspear,M239/M241/M246/M248,Laser,,4,2026,TI,Snowy,Ares 2,
Cherry,LaserJet Pro 4006-40009dn,Laser,HP 230A/230X,6,2025,Realtek,Stellar,Dune,
Trillium,,,,4,2025,TI,Snowy,Ares,
Victoria,Envy 6100/6500,Ink,HP 68,5,2024,Realtek,Stingray,Dune,
Beam,DesignJet XT950,Large Format,HP 776,5,2023,Realtek,Stingray,Dune,
Euthenia,Color LaserJet Pro MFP 3301-3304/3388 series,Laser,HP 222A/222X,5,2023,Realtek,Stingray,Dune,
Kebin,OfficeJet Pro 9720 Series,Ink,HP 936/937/938,5,2023,Realtek,Stingray,Dune,
Kegon,,,,,2023,Marvell,Styx,Apollo,
Marconi,OfficeJet Pro 9120 / 9120b Series,Ink,HP 936/937/938,5,2023,Realtek,Stingray,Dune,
Moreto,OfficeJet Pro 8030 series,Ink,HP 936/937/938,5,2023,Realtek,Stingray,Dune,
Selene,Color LaserJet Pro MFP 4301-4303,Laser,HP 230A/230X,5,2023,Realtek,Stingray,Dune,
Tassel,"Deskjet 2800, 4200, 4900",Ink,HP 67/67XL,5,2023,Infineon,Silverstar,Ares,
Ulysses,Color LaserJet Pro 4201-4203,Laser,HP 230A/230X,5,2023,Realtek,Stingray,Dune,
Union,,,,,2023,Marvell,Styx,Apollo,
Zelus,Color LaserJet Pro 3288,Laser,HP 222A/222X,5,2023,Realtek,Stingray,Dune,
Angel,1005/1602/2604,Laser,HP 154A/154X (toner reload),4,2022,Marvell,Styx,Apollo,
LEBI,"Smart Tank 580-590/5100, 520/50000, 200-210/2100",Ink,Continuous Ink (bottled),5,2022,Infineon,Silverstar,Ares,
Shiralto,1020/1502/1504/2502/2504/2506,Laser,HP 154A/154X (toner reload),4,2022,Marvell,Styx,Apollo,
Gaheris,M139/M140/M141/M142,Laser,HP 141A/141X,4,2021,Marvell,Styx,Apollo,
Hulk,LaserJet 310x,Laser,HP 220A/220X,4,2021,Marvell,Styx,SoL,
Kay,M109/M110/M111/M112,Laser,HP 141A/141X,4,2021,Marvell,Styx,Apollo,
Lochsa,LaserJet 410x,Laser,HP 220A/220X,4,2021,Marvell,Styx,SoL,
Novelli,Envy Inspire 7200/7900,Ink,HP 64/64XL,5,2021,Realtek,Stingray,SoL,
Sayan,Smart Tank 7xx/7x0x,Ink,Continuous Ink (bottled),5,2021,Realtek,Stingray,SoL,
Storm,LaserJet 300x,Laser,HP 220A/220X,4,2021,Marvell,Styx,SoL,
Vasari Yeti,Envy 6000/6400,Ink,HP 67/67XL,5,2021,Realtek,Stingray,SoL,
Yoshino,LaserJet 400x,Laser,HP 220A/220X,4,2021,Marvell,Styx,SoL,
Bella,M182/M183,Laser,HP 215A,4,2020,Infineon,Ulysses,Phoenix,
Betel,M282/M283,Laser,HP 206A/206X,4,2020,Infineon,Ulysses,Phoenix,
Eyrie,M207-M212,Laser,HP 136A/136X,4,2020,Marvell,Styx,Apollo,
Malbec Yeti,OJ Pro 80x0,Ink,HP 910/910XL,5,2020,Realtek,Stingray,SoL,
Manhattan Yeti,OJ Pro 90x0,Ink,HP 962/962XL,5,2020,Realtek,Stingray,SoL,
Meissa,M255,Laser,HP 206A/206X,4,2020,Infineon,Ulysses,Phoenix,
Saiph,M155,Laser,HP 215A,4,2020,Infineon,Ulysses,Phoenix,
Skyreach,M232-M237,Laser,HP 136A/136X,4,2020,Marvell,Styx,Apollo,
Spark,DesignJet T250/T650,Large Format,HP 712,4,2020,Marvell,Styx,SoL,
Taccola,DJ 2700/4100,Ink,HP 67/67XL,4,2020,Marvell,Styx,Classic,
Vasari,Envy 6000/6400,Ink,HP 67/67XL,5,2020,Realtek,Stingray,SoL,
Colossus,1200,Laser,HP 103A/143A (toner reload),4,2019,Infineon,Spectra,Apollo,
Malbec,OJ Pro 80x0,Ink,HP 910/910XL,4,2019,Marvell,Styx,SoL,
Manhattan,OJ Pro 90x0,Ink,HP 962/962XL,4,2019,Marvell,Styx,SoL,
Wolverine,1000,Laser,HP 103A/143A (toner reload),4,2019,Infineon,Spectra,Apollo,
Arthur,M14/M15/M16,Laser,HP 48A,4,2018,Infineon,Spectra,Apollo,
Clearwater,M479,Laser,HP 415A/415X,4,2018,Marvell,Styx,SoL,
Gawain,M28/M29/M31,Laser,HP 48A,4,2018,Infineon,Spectra,Apollo,
Infinity,Tango,Ink,HP 64/64XL,4,2018,Marvell,Styx,SoL,
Marathon,PageWide Pro 7xx,Ink,HP 982A/982X,4,2018,Infineon,UlyssesBlue,SoL,
Mogami,M404,Laser,HP 58A/58X,4,2018,Marvell,Styx,SoL,
Poseidon,Smart Tank 5xx/6xx,Ink,Continuous Ink (bottled),4,2018,Marvell,Styx,SoL,
Shimanto,M454,Laser,HP 415A/415X,4,2018,Marvell,Styx,SoL,
Spirit,PageWide Pro 750,Ink,HP 982A/982X,4,2018,Infineon,UlyssesBlue,SoL,
Teton,M428,Laser,HP 58A/58X,4,2018,Marvell,Styx,SoL,
Aurora,M254,Laser,HP 202A/202X,4,2017,Infineon,Ulysses,Phoenix,
Ellis,OJ Pro 77x0,Ink,HP 953/953XL,4,2017,Infineon,Spectra,SoL 1.0,
Limo,PageWide Pro 750,Ink,HP 982A/982X,4,2017,Infineon,UlyssesBlue,SoL,
Nile,M153/M154,Laser,HP 204A,4,2017,Infineon,Ulysses,Phoenix,
Palermo,Envy Photo 6200/7x00,Ink,HP 64/64XL,4,2017,Infineon,UlyssesBlue,SoL,
Photon,DJ Txxx,Large Format,HP 728,4,2017,Infineon,Spectra,SoL 1.0,
Pyramid,MFP M180/M181,Laser,HP 204A,4,2017,Infineon,Ulysses,Phoenix,
Taiji,DJ 2600,Ink,HP 65/65XL,4,2017,Infineon,Spectra,Sirius,
Verona,Envy 5xxx,Ink,HP 65/65XL,4,2017,Infineon,UlyssesBlue,SoL,
